Draft Projection
NA
NA
NA
NA
NA
NA
NA
NA
NaVorro Bowman
Tyron Smith
Calais Campbell
Edgerrin James
Derrick Johnson
Ryan Kerrigan
Eli Harold
Matt Ryan
Joe Haden
Jason Witten
E.J. Henderson
Sean Smith
John Henderson
Lane Johnson
Chris Baker
Jon Runyan
Michael Bennett
Marcus Mariota
Sharrif Floyd
DeAndre Hopkins
Zack Martin
Desmond Trufant
Mario Edwards
Muhammad Wilkerson
Bobby Massie
John Brown
Lavonte David
"Ted Ginn, Jr."
Brandon Jacobs
Star Lotulelei
Arian Foster
Jordan Phillips
Courtney Upshaw
Zach Brown
Charles Johnson
Grady Jarrett
Eddie Goldman
Kawaan Short
Whitney Mercilus
Blake Bortles
Zach Thomas
Keenan Allen
Connor Barwin
Nick Perry
Dan Williams
Paul Dawson
David Parry
Ereck Flowers
Brian Hoyer
Sebastian Vollmer
Terrance Williams
Gabe Jackson
Billy Turner
Bryan Stork
Kenny Vaccaro
Javon Walker
Dominique Rodgers-­Cromartie
Charles Johnson
Trumaine Johnson
Kurt Coleman
Jeremy Langford
David Amerson
Andre Branch
T.J. Ward
Chris Ivory
Josh Reed
Thomas Rawls
Jordan Reed
Coby Fleener
Phillip Gaines
Antoine Bethea
Deone Bucannon
John Sullivan
Kevin Johnson
Ali Marpet
Duke Johnson
Mike Wallace
Tyler Lockett
A.J. Cann
Zach Ertz
Alex Mack
Graham Gano
Brandon Marshall
Olin Kreutz
NA
Brett Hundley
NA
Henry Melton
Frank Zombo
Mike Daniels
Kyle Fuller
Oday Aboushi
Jeff Zgonina
Shaq Mason
NA
Bobby Massie
Jordan Cameron
Husain Abdullah
Nick Hayden
Joe Mays
Denico Autry
Andre Roberts
Trent Murphy
Fred Jackson
Kyle Arrington
Aaron Colvin
Patrick Robinson
Ryan Harris
Morgan Burnett
Evan Mathis
NA
Wallace Gilberry
Justin Bethel
T.J. Yeldon
Tyler Kroft
Josh Huff
John Jerry
Case Keenum
Derek Newton
Corey Linsley
Rounds 4 or 5
NA
A.J. Bouye
Jason Avant
Dwayne Gratz
Lance Kendricks
Dan Orlovsky
Zack Wagenmann
T.J. Lang
Duke Ihenacho
Charles Sims
Blair Walsh
Barry Church
Max Bullough
NA
Cedric Thompson
Trumaine Johnson
Devin Street
Logan Thomas
Steven Nelson
Donnie Jones
NA
Aaron Murray
Quinton Dial
NA
NA
Keshawn Martin
Zane Beadles
Lamarcus Joyner
Denzel Perryman
Jackson Jeffcoat
Zach Vigil
NA
Taiwan Jones
Kendrick Lewis
Brett Hundley
Vance McDonald
Jermauria Rasco
Tim Lelito
Steve Smith
Devin Street
NA
NA
Telvin Smith
Danny Amendola
Tony Jefferson
Bobby Rainey
Bobby Hart
Hunter Hillenmeyer
NA
Bobby McCain
Geremy Davis
Tray Walker
Matt Paradis
Ryan Hewitt
Amarlo Herrera
Mo Alexander
NA
NA
Tye Smith
NA
Tim Hightower
NA
NA
Jacquizz Rodgers
NA
Mike McGlynn
NA
Dakota Dozier
Ronnie Hillman
NA
James Hurst
NA
John Jerry
NA
Jerome Felton
NA
Ryan Delaire
Rodney Gunter
Luke Willson
Zach Kerr
Mike Hull
NA
NA
Martrell Spaight
A.J. Klein
Cole Beasley
Obum Gwacham
Maxx Williams
NA
Nelson Agholor
NA
Ty Sambrailo
NA
NA
J.R. Tavai
NA
Justin Ellis
NA
NA
Russell Bodine
Sean Mannion
Jack Crawford
Lorenzo Mauldin
Darius Kilgo
Quanterus Smith
Nick Marshall
Gavin Escobar
NA
NA
Luis Trinca-­Pasat
Quan Bray
NA
Josh Robinson
NA
NA
Spencer Paysinger
NA
James Sample
Jeff Luc
NA
NA
Drew Stanton
Akeem Hunt
Ray Ray Armstrong
NA
Rodney Smith
NA
NA
NA
NA
NA
Mike Burton
NA
NA
NA
NA
NA
David Mayo
NA
NA
NA
NA
NA
NA
NA
James Vaughters
NA
NA
John Timu
NA
NA
NA
NA
Dontrelle Inman
NA
NA
Tayo Fabuluje
NA
Bill Bentley
David Quessenberry
NA
NA
Kyle Juszczyk
NA
Ropati Pitoitua
NA
NA
Tyrod Taylor
NA
NA
NA
NA
NA
NA
NA
Chris Gronkowski
NA
NA
Wes Saxton
NA
Jalston Fowler
NA
NA
NA
Cyril Richardson
NA
NA
NA
NA
NA
Dezmin Lewis
Joe Cardona
NA
Cody Wallace
NA
Tom Savage
NA
NA
NA
NA
John Urschel
NA
NA
NA
NA
Reese Dismukes
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
